Batsman,Bowler,Runs_Scored,Balls_Faced,Player_Out,ID
A Badoni,KR Sen,2,2,Not Out,2022
A Badoni,LH Ferguson,15,12,Not Out,2022
A Badoni,Mohammed Shami,5,5,Not Out,2022
A Badoni,Mohammed Siraj,9,8,Not Out,2022
A Badoni,Mukesh Choudhary,7,5,Not Out,2022
A Badoni,PWH de Silva,1,2,Not Out,2022
A Badoni,R Ashwin,2,3,Not Out,2022
A Badoni,R Sai Kishore,1,2,A Badoni,2022
A Badoni,R Shepherd,12,9,A Badoni,2022
A Badoni,RP Meredith,9,4,A Badoni,2022
A Badoni,Rashid Khan,14,12,Not Out,2022
A Badoni,Rashid Khan,2,6,Not Out,2022
A Badoni,S Dube,7,4,Not Out,2022
A Badoni,SN Thakur,10,3,Not Out,2022
A Badoni,SP Narine,1,4,Not Out,2022
A Badoni,Shivam Mavi,1,1,Not Out,2022
A Badoni,T Natarajan,1,1,Not Out,2022
A Badoni,TA Boult,0,1,A Badoni,2022
A Badoni,TG Southee,3,6,PVD Chameera,2022
A Badoni,VR Aaron,2,3,A Badoni,2022
A Badoni,Washington Sundar,5,2,Not Out,2022
A Badoni,YS Chahal,1,2,A Badoni,2022
A Chandila,R Rampaul,1,2,Not Out,2013
A Chandila,R Vinay Kumar,1,2,Not Out,2013
A Chandila,RP Singh,2,2,Not Out,2013
A Chandila,V Pratap Singh,0,1,OA Shah,2012
A Chopra,DP Vijaykumar,1,5,Not Out,2007/08
A Chopra,DW Steyn,1,4,A Chopra,2007/08
A Chopra,GD McGrath,2,4,Not Out,2007/08
A Chopra,Harmeet Singh,4,8,Not Out,2009
A Chopra,JR Hopes,1,2,A Chopra,2007/08
A Chopra,PJ Sangwan,6,10,A Chopra,2007/08
A Chopra,PP Chawla,1,1,Not Out,2007/08
A Chopra,PP Ojha,3,6,A Chopra,2009
A Chopra,RP Singh,9,6,Not Out,2007/08
A Chopra,SB Bangar,9,4,Not Out,2007/08
A Chopra,SB Styris,1,1,Not Out,2007/08
A Chopra,SB Styris,4,6,Not Out,2009
A Chopra,SM Pollock,1,4,Not Out,2007/08
A Chopra,VY Mahesh,5,4,Not Out,2007/08
A Chopra,WPUJC Vaas,1,2,Not Out,2007/08
A Chopra,Y Venugopal Rao,3,7,A Chopra,2007/08
A Chopra,Z Khan,1,1,Not Out,2007/08
A Choudhary,AJ Tye,2,3,Not Out,2017
A Choudhary,AR Patel,2,2,Not Out,2017
A Choudhary,BCJ Cutting,6,2,YS Chahal,2017
A Choudhary,Basil Thampi,8,4,Not Out,2017
A Choudhary,JP Faulkner,5,5,Not Out,2017
A Choudhary,MM Sharma,2,4,A Choudhary,2017
A Dananjaya,Mohammed Shami,2,3,Not Out,2018
A Dananjaya,TA Boult,2,2,Not Out,2018
A Flintoff,A Nehra,3,4,A Flintoff,2009
A Flintoff,DJ Bravo,13,7,Not Out,2009
A Flintoff,DL Vettori,4,6,Not Out,2009
A Flintoff,DP Nannes,0,1,Not Out,2009
A Flintoff,DW Steyn,14,8,Not Out,2009
A Flintoff,Harbhajan Singh,2,5,A Flintoff,2009
A Flintoff,KP Pietersen,6,4,Not Out,2009
A Flintoff,MK Tiwary,3,3,Not Out,2009
A Flintoff,P Kumar,2,2,Not Out,2009
A Flintoff,PJ Sangwan,6,4,Not Out,2009
A Flintoff,RR Raje,1,1,Not Out,2009
A Flintoff,SL Malinga,0,4,Not Out,2009
A Flintoff,ST Jayasuriya,7,4,Not Out,2009
A Flintoff,Z Khan,1,4,Not Out,2009
A Kumble,A Flintoff,1,2,Not Out,2009
A Kumble,A Mishra,1,1,Not Out,2009/10
A Kumble,AB McDonald,1,1,Not Out,2009/10
A Kumble,CRD Fernando,1,3,Not Out,2009/10
A Kumble,DJ Bravo,5,3,Not Out,2009
A Kumble,Harbhajan Singh,1,2,Not Out,2009
A Kumble,Harmeet Singh,1,2,Not Out,2009/10
A Kumble,IK Pathan,0,1,Not Out,2007/08
A Kumble,IK Pathan,5,3,Not Out,2009
A Kumble,IK Pathan,1,2,Not Out,2009
A Kumble,JA Morkel,2,1,Not Out,2007/08
A Kumble,M Muralitharan,0,3,Not Out,2009
A Kumble,PP Chawla,1,4,Not Out,2007/08
A Kumble,R McLaren,1,3,Not Out,2009/10
A Kumble,RA Jadeja,2,3,Not Out,2007/08
A Kumble,RJ Harris,1,2,Not Out,2009/10
A Kumble,RP Singh,1,1,Not Out,2009
A Kumble,RP Singh,1,1,Not Out,2009
A Kumble,SK Warne,5,3,Not Out,2007/08
A Kumble,SL Malinga,1,1,Not Out,2009
A Kumble,Sohail Tanvir,1,2,A Kumble,2007/08
A Kumble,VRV Singh,2,3,Not Out,2007/08
A Kumble,YA Abdulla,0,2,A Kumble,2009
A Manohar,AD Russell,0,1,A Manohar,2022
A Manohar,Avesh Khan,10,4,Not Out,2022
A Manohar,B Kumar,8,6,A Manohar,2022
A Manohar,JDS Neesham,10,7,Not Out,2022
A Manohar,KR Sen,4,1,Not Out,2022
A Manohar,M Jansen,7,7,Not Out,2022
A Manohar,M Theekshana,3,6,A Manohar,2022
A Manohar,Mukesh Choudhary,9,6,Not Out,2022
A Manohar,Mustafizur Rahman,1,2,A Manohar,2022
A Manohar,PVD Chameera,5,3,Not Out,2022
A Manohar,R Ashwin,7,8,Not Out,2022
A Manohar,R Parag,1,2,Not Out,2022
A Manohar,Shivam Mavi,2,3,Not Out,2022
A Manohar,T Natarajan,11,4,Not Out,2022
A Manohar,TG Southee,0,1,Not Out,2022
A Manohar,Umran Malik,9,5,Not Out,2022
A Manohar,Umran Malik,0,2,A Manohar,2022
A Manohar,YS Chahal,21,11,A Manohar,2022
A Mishra,A Nehra,3,3,A Mishra,2015
A Mishra,A Singh,2,2,Not Out,2011
A Mishra,A Symonds,0,1,A Mishra,2009/10
A Mishra,AB Agarkar,2,3,Not Out,2009/10
A Mishra,AB Agarkar,1,2,Not Out,2012
A Mishra,AB Dinda,3,4,Not Out,2007/08
A Mishra,AB Dinda,2,3,Not Out,2009/10
A Mishra,AB Dinda,13,8,A Mishra,2013
A Mishra,AD Mathews,6,8,Not Out,2013
A Mishra,AG Murtaza,3,3,Not Out,2009/10
A Mishra,AN Ahmed,3,4,DW Steyn,2011
A Mishra,Azhar Mahmood,7,4,Not Out,2012
A Mishra,B Lee,2,2,Not Out,2011
A Mishra,BA Stokes,2,5,Not Out,2017
A Mishra,BB Sran,1,2,Not Out,2018
A Mishra,Basil Thampi,8,2,Not Out,2017
A Mishra,CH Morris,3,5,Not Out,2013
A Mishra,CRD Fernando,3,4,A Mishra,2009/10
A Mishra,D Wiese,1,1,Not Out,2015
A Mishra,DE Bollinger,2,5,DT Christian,2011
A Mishra,DE Bollinger,2,5,A Mishra,2011
A Mishra,DJ Bravo,2,2,Not Out,2013
A Mishra,DJ Bravo,7,6,Not Out,2019
A Mishra,DJ Bravo,0,1,Not Out,2019
A Mishra,DL Chahar,6,2,Not Out,2019
A Mishra,DS Kulkarni,2,3,Not Out,2011
A Mishra,DS Kulkarni,0,1,Not Out,2015
A Mishra,GB Hogg,1,6,A Mishra,2016
A Mishra,HH Pandya,1,1,Not Out,2017
A Mishra,HH Pandya,3,2,Not Out,2019
A Mishra,Harbhajan Singh,1,1,Not Out,2009
A Mishra,Harbhajan Singh,1,1,Not Out,2009/10
A Mishra,Harbhajan Singh,3,3,Not Out,2009/10
A Mishra,Harbhajan Singh,5,4,Not Out,2011
A Mishra,Harbhajan Singh,3,4,Not Out,2017
A Mishra,Harbhajan Singh,0,2,Not Out,2019
A Mishra,Harmeet Singh,0,1,A Mishra,2009/10
A Mishra,I Sharma,1,3,Not Out,2007/08
A Mishra,IK Pathan,3,3,Not Out,2009/10
A Mishra,IK Pathan,4,4,Not Out,2013
A Mishra,Imran Tahir,1,3,A Mishra,2019
A Mishra,Iqbal Abdulla,13,9,TM Dilshan,2007/08
A Mishra,J Theron,3,4,Not Out,2009/10
A Mishra,JA Morkel,1,2,Not Out,2009
A Mishra,JD Unadkat,7,3,Not Out,2011
A Mishra,JD Unadkat,11,5,Not Out,2017
A Mishra,JH Kallis,7,8,Not Out,2011
A Mishra,JJ Bumrah,0,2,A Mishra,2016
A Mishra,JJ Bumrah,1,3,Not Out,2019
A Mishra,JO Holder,8,5,Not Out,2013
A Mishra,JO Holder,3,5,Not Out,2013
A Mishra,JP Duminy,12,3,Not Out,2009
A Mishra,JP Faulkner,0,1,A Mishra,2013
A Mishra,JP Faulkner,0,2,A Mishra,2014
A Mishra,KA Pollard,1,3,A Mishra,2009/10
A Mishra,KA Pollard,3,7,Not Out,2009/10
A Mishra,KK Ahmed,1,3,A Mishra,2019
A Mishra,KK Cooper,3,8,Not Out,2013
A Mishra,KV Sharma,5,10,Not Out,2017
A Mishra,Kamran Khan,0,1,A Mishra,2009
A Mishra,L Ablish,3,4,Not Out,2009/10
A Mishra,L Balaji,10,6,Not Out,2009
A Mishra,L Balaji,6,3,Not Out,2009/10
A Mishra,L Balaji,5,3,Not Out,2011
A Mishra,L Balaji,2,2,Not Out,2014
A Mishra,LR Shukla,0,1,A Mishra,2007/08
A Mishra,M Morkel,5,5,A Mishra,2012
A Mishra,M Morkel,7,6,Not Out,2013
A Mishra,MA Starc,1,3,A Mishra,2015
A Mishra,MG Johnson,1,2,Not Out,2014
A Mishra,MJ McClenaghan,0,1,Not Out,2016
A Mishra,MM Patel,1,1,Not Out,2007/08
A Mishra,MM Patel,0,1,A Mishra,2007/08
A Mishra,MM Patel,0,3,Not Out,2009
A Mishra,MM Patel,15,6,Not Out,2011
A Mishra,MM Patel,16,4,Not Out,2011
A Mishra,MM Patel,0,2,Not Out,2012
A Mishra,MM Sharma,0,1,Not Out,2013
A Mishra,MR Marsh,0,1,A Mishra,2011
A Mishra,MR Marsh,8,7,Not Out,2013
A Mishra,NLTC Perera,0,1,A Mishra,2011
A Mishra,P Awana,1,1,Not Out,2012
A Mishra,P Negi,2,2,Not Out,2017
A Mishra,P Negi,7,4,A Mishra,2017
A Mishra,PC Valthaty,0,1,A Mishra,2011
A Mishra,PP Chawla,1,1,Not Out,2009/10
A Mishra,PP Chawla,2,3,Not Out,2016
A Mishra,PP Ojha,2,6,Not Out,2009/10
A Mishra,R Ashwin,4,10,A Mishra,2013
A Mishra,R Ashwin,1,2,Not Out,2015
A Mishra,R Bhatia,1,1,Not Out,2013
A Mishra,R Dhawan,1,1,Not Out,2014
A Mishra,R Sharma,2,3,Not Out,2009/10
A Mishra,R Sharma,3,3,Not Out,2013
A Mishra,R Vinay Kumar,1,2,Not Out,2016
A Mishra,RA Jadeja,1,1,Not Out,2013
A Mishra,RP Singh,2,2,Not Out,2009
A Mishra,RP Singh,0,1,Not Out,2009
A Mishra,SC Ganguly,14,15,Not Out,2007/08
A Mishra,SK Trivedi,3,4,A Mishra,2007/08
A Mishra,SK Trivedi,11,13,Not Out,2013
A Mishra,SK Warne,2,4,Not Out,2007/08
A Mishra,SL Malinga,2,5,Not Out,2011
A Mishra,SL Malinga,0,2,A Mishra,2012
A Mishra,SL Malinga,1,4,A Mishra,2012
A Mishra,SL Malinga,2,4,Not Out,2019
A Mishra,SP Narine,1,1,Not Out,2012
A Mishra,SR Watson,5,4,Not Out,2013
A Mishra,SR Watson,2,8,Not Out,2017
A Mishra,ST Jayasuriya,1,1,Not Out,2009/10
A Mishra,STR Binny,2,7,Not Out,2013
A Mishra,Sandeep Sharma,2,5,Not Out,2017
A Mishra,TG Southee,1,2,Not Out,2015
A Mishra,TS Mills,4,4,Not Out,2017
A Mishra,UT Yadav,5,4,Not Out,2013
A Mishra,UT Yadav,1,1,Not Out,2015
A Mishra,VR Aaron,2,6,Not Out,2017
A Mishra,WPUJC Vaas,0,1,A Mishra,2009
A Mithun,A Mishra,0,1,A Mithun,2009/10
A Mithun,DJ Bravo,0,2,A Mithun,2011
A Mithun,DL Vettori,5,3,Not Out,2009/10
A Mithun,M Morkel,0,2,A Mithun,2011
A Mithun,PC Valthaty,3,3,Not Out,2011
A Mithun,PP Chawla,1,1,Not Out,2011
A Mithun,R Ashwin,2,2,Not Out,2011
A Mithun,RJ Harris,6,3,Not Out,2011
A Mithun,RJ Harris,6,3,A Mithun,2011
A Mithun,SK Raina,9,4,Not Out,2011
A Mithun,SP Narine,2,2,A Mithun,2013
A Mukund,A Chandila,5,4,Not Out,2013
A Mukund,JP Faulkner,3,7,Not Out,2013
A Mukund,S Sreesanth,1,1,Not Out,2013
A Mukund,SK Trivedi,1,3,A Mukund,2013
A Mukund,SR Watson,9,7,Not Out,2013
A Mukund,Sohail Tanvir,0,1,A Mukund,2007/08
A Nehra,AD Mascarenhas,2,3,Not Out,2012
A Nehra,AD Russell,1,3,Not Out,2015
A Nehra,DJ Bravo,0,1,A Nehra,2013
A Nehra,GB Hogg,0,1,Not Out,2015
A Nehra,Harmeet Singh,7,6,Not Out,2009/10
A Nehra,IK Pathan,0,6,Not Out,2007/08
A Nehra,IK Pathan,1,1,Not Out,2009
A Nehra,IK Pathan,0,2,A Nehra,2009/10
A Nehra,J Theron,1,2,Not Out,2009/10
A Nehra,Joginder Sharma,1,2,Not Out,2007/08
A Nehra,KA Pollard,0,1,A Nehra,2013
A Nehra,MA Starc,0,1,Not Out,2015
A Nehra,MA Starc,0,1,MM Sharma,2015
A Nehra,MG Johnson,1,2,Not Out,2013
A Nehra,MR Marsh,5,4,Not Out,2009/10
A Nehra,NLTC Perera,0,1,A Nehra,2013
A Nehra,NM Coulter-Nile,1,1,Not Out,2016
A Nehra,P Awana,0,2,AB Dinda,2012
A Nehra,R Sharma,7,3,Not Out,2009/10
A Nehra,S Sreesanth,1,3,Not Out,2007/08
A Nehra,SL Malinga,0,2,Not Out,2013
A Nehra,SL Malinga,0,1,A Nehra,2015
A Nehra,SP Narine,0,1,A Nehra,2013
A Nehra,STR Binny,7,4,Not Out,2012
A Nehra,SW Tait,2,4,Not Out,2012
A Nehra,VRV Singh,1,1,Not Out,2007/08
A Nehra,VRV Singh,0,1,Not Out,2007/08
A Nehra,WPUJC Vaas,3,3,Not Out,2009/10
A Nortje,CJ Jordan,3,1,Not Out,2020/21
A Nortje,KK Ahmed,3,2,Not Out,2020/21
A Nortje,M Theekshana,0,3,Not Out,2022
A Nortje,Simarjeet Singh,1,4,Not Out,2022
A Nortje,T Natarajan,1,3,A Nortje,2020/21
A Singh,A Mishra,0,1,A Singh,2009
A Singh,AB Agarkar,1,2,Not Out,2009
A Singh,DE Bollinger,1,1,Not Out,2011
A Singh,KA Pollard,0,3,A Singh,2012
A Singh,SK Raina,0,1,A Singh,2011
A Singh,Shakib Al Hasan,0,2,A Singh,2011
A Symonds,A Kumble,3,4,A Symonds,2009
A Symonds,A Kumble,6,3,Not Out,2009/10
A Symonds,A Kumble,4,6,A Symonds,2009/10
A Symonds,A Mishra,24,11,Not Out,2009
A Symonds,A Mishra,10,8,A Symonds,2009
A Symonds,A Mishra,1,3,Not Out,2009/10
A Symonds,A Mishra,19,10,A Symonds,2009/10
A Symonds,A Mishra,4,7,Not Out,2011
A Symonds,A Mishra,2,3,A Symonds,2011
A Symonds,A Nehra,2,2,Not Out,2009
A Symonds,AB Agarkar,1,2,A Symonds,2007/08
A Symonds,AB Agarkar,11,6,TL Suman,2009
A Symonds,AB Agarkar,12,9,Not Out,2009/10
A Symonds,AB Agarkar,3,3,Not Out,2011
A Symonds,AB Dinda,0,2,Not Out,2007/08
A Symonds,AC Thomas,2,4,Not Out,2011
A Symonds,AD Mathews,7,8,Not Out,2009/10
A Symonds,AL Menaria,1,1,Not Out,2011
A Symonds,AP Dole,3,5,Not Out,2009/10
A Symonds,Anand Rajan,1,2,Not Out,2011
A Symonds,B Akhil,2,2,Not Out,2009
A Symonds,B Lee,4,6,Not Out,2009
A Symonds,B Lee,2,3,Not Out,2009
A Symonds,BA Bhatt,2,4,Not Out,2011
A Symonds,BJ Hodge,1,2,Not Out,2009/10
A Symonds,Bipul Sharma,11,5,Not Out,2009/10
A Symonds,Bipul Sharma,3,4,Not Out,2011
A Symonds,CH Gayle,1,2,A Symonds,2009/10
A Symonds,CK Langeveldt,1,3,Not Out,2009/10
A Symonds,D Salunkhe,7,2,Not Out,2007/08
A Symonds,DE Bollinger,6,3,Not Out,2009/10
A Symonds,DE Bollinger,2,6,Not Out,2011
A Symonds,DJ Bravo,5,3,Not Out,2009/10
A Symonds,DJ Hussey,19,10,Not Out,2007/08
A Symonds,DP Nannes,11,6,Not Out,2009
A Symonds,DP Nannes,12,5,Not Out,2009
A Symonds,DP Nannes,2,2,Not Out,2009/10
A Symonds,DP Nannes,1,1,Not Out,2009/10
A Symonds,DT Christian,8,5,Not Out,2011
A Symonds,DT Christian,3,7,Not Out,2011
A Symonds,DW Steyn,11,6,Not Out,2009/10
A Symonds,DW Steyn,2,5,Not Out,2009/10
A Symonds,DW Steyn,0,1,A Symonds,2009/10
A Symonds,DW Steyn,23,12,Not Out,2011
A Symonds,GD McGrath,8,5,Not Out,2007/08
A Symonds,I Sharma,3,5,Not Out,2007/08
A Symonds,I Sharma,2,2,Not Out,2009
A Symonds,I Sharma,0,1,A Symonds,2009/10
A Symonds,I Sharma,7,6,Not Out,2011
A Symonds,I Sharma,1,2,Not Out,2011
A Symonds,IK Pathan,14,8,Not Out,2009
A Symonds,IK Pathan,2,3,Not Out,2009/10
A Symonds,J Botha,1,3,A Symonds,2011
A Symonds,J Theron,1,3,A Symonds,2009/10
A Symonds,JA Morkel,17,9,HH Gibbs,2009/10
A Symonds,JA Morkel,7,9,Not Out,2009/10
A Symonds,JE Taylor,3,3,A Symonds,2011
A Symonds,JH Kallis,14,7,Not Out,2009
A Symonds,JH Kallis,10,5,Not Out,2009/10
A Symonds,JH Kallis,5,5,Not Out,2009/10
A Symonds,JM Kemp,1,6,Not Out,2009/10
A Symonds,JR Hopes,1,1,Not Out,2011
A Symonds,Joginder Sharma,7,2,Not Out,2011
A Symonds,KA Pollard,5,6,Not Out,2009/10
A Symonds,KP Appanna,8,5,Not Out,2009/10
A Symonds,L Balaji,21,13,Not Out,2009/10
A Symonds,M Kartik,6,9,Not Out,2007/08
A Symonds,M Kartik,5,4,Not Out,2009
A Symonds,M Kartik,3,3,Not Out,2009/10
A Symonds,M Kartik,2,3,Not Out,2009/10
A Symonds,M Kartik,2,3,Not Out,2011
A Symonds,M Morkel,12,14,Not Out,2009/10
A Symonds,M Muralitharan,3,11,Not Out,2009/10
A Symonds,M Muralitharan,2,4,Not Out,2009/10
A Symonds,MB Parmar,16,9,Not Out,2009/10
A Symonds,MC Henriques,1,2,A Symonds,2009/10
A Symonds,MF Maharoof,1,2,A Symonds,2007/08
A Symonds,MM Patel,21,11,Not Out,2007/08
A Symonds,Mashrafe Mortaza,0,1,A Symonds,2009
A Symonds,Mohammad Asif,2,5,Not Out,2007/08
A Symonds,Mohammad Hafeez,3,13,Not Out,2007/08
A Symonds,P Kumar,13,5,Not Out,2009/10
A Symonds,P Kumar,2,7,Not Out,2009/10
A Symonds,P Kumar,5,3,Not Out,2011
A Symonds,PD Collingwood,15,8,Not Out,2009/10
A Symonds,PJ Sangwan,6,5,Not Out,2009
A Symonds,PP Chawla,9,4,Not Out,2009
A Symonds,PP Chawla,10,8,Not Out,2009
A Symonds,PP Chawla,13,9,Not Out,2009/10
A Symonds,PP Chawla,3,4,Not Out,2009/10
A Symonds,PP Ojha,2,3,Not Out,2011
A Symonds,PP Ojha,1,5,Not Out,2011
A Symonds,Pankaj Singh,4,6,Not Out,2007/08
A Symonds,R Ashwin,8,7,Not Out,2009/10
A Symonds,R Ashwin,0,1,A Symonds,2009/10
A Symonds,R Ashwin,11,8,Not Out,2011
A Symonds,R Bhatia,0,1,A Symonds,2009
A Symonds,R McLaren,9,8,A Symonds,2009/10
A Symonds,R Sharma,2,2,Not Out,2011
A Symonds,R Vinay Kumar,7,5,Not Out,2009
A Symonds,R Vinay Kumar,13,6,Not Out,2009/10
A Symonds,RA Jadeja,9,9,A Symonds,2009
A Symonds,RE van der Merwe,5,7,A Symonds,2009
A Symonds,RE van der Merwe,9,5,Not Out,2009
A Symonds,RJ Harris,2,2,Not Out,2011
A Symonds,RR Powar,9,9,Not Out,2009
A Symonds,S Ladda,8,5,Not Out,2009/10
A Symonds,S Narwal,13,6,Not Out,2009/10
A Symonds,S Randiv,7,8,Not Out,2011
A Symonds,S Sreesanth,19,5,Not Out,2009
A Symonds,S Sreesanth,1,1,Not Out,2009
A Symonds,S Sreesanth,15,6,Not Out,2009/10
A Symonds,SB Jakati,18,11,Not Out,2009/10
A Symonds,SB Jakati,14,9,Not Out,2009/10
A Symonds,SE Bond,7,8,Not Out,2009/10
A Symonds,SJ Srivastava,7,7,Not Out,2009/10
A Symonds,SK Raina,1,5,Not Out,2009/10
A Symonds,SK Raina,4,5,Not Out,2011
A Symonds,SK Trivedi,31,13,Not Out,2007/08
A Symonds,SK Trivedi,4,2,Not Out,2009/10
A Symonds,SK Trivedi,0,1,A Symonds,2009/10
A Symonds,SK Trivedi,8,5,Not Out,2011
A Symonds,SK Warne,35,14,Not Out,2007/08
A Symonds,SK Warne,21,10,Not Out,2009
A Symonds,SK Warne,4,4,Not Out,2009/10
A Symonds,SK Warne,5,10,Not Out,2011
A Symonds,SL Malinga,0,6,A Symonds,2009/10
A Symonds,SR Watson,10,8,Not Out,2007/08
A Symonds,SR Watson,2,8,Not Out,2011
A Symonds,SW Tait,1,3,Not Out,2009/10
A Symonds,T Thushara,2,6,Not Out,2009/10
A Symonds,TM Dilshan,13,5,Not Out,2009/10
A Symonds,UT Yadav,7,6,Not Out,2009/10
A Symonds,UT Yadav,6,6,Not Out,2009/10
A Symonds,V Kohli,11,8,Not Out,2009
A Symonds,VY Mahesh,1,1,Not Out,2007/08
A Symonds,WA Mota,11,12,Not Out,2009
A Symonds,WD Parnell,10,6,Not Out,2011
A Symonds,Y Nagar,16,6,Not Out,2009/10
A Symonds,YK Pathan,9,3,Not Out,2007/08
A Symonds,Yuvraj Singh,3,2,Not Out,2009
A Symonds,Yuvraj Singh,3,5,A Symonds,2009
A Symonds,Yuvraj Singh,5,8,A Symonds,2009/10
A Symonds,Z Khan,1,1,Not Out,2009/10
A Symonds,Z Khan,2,2,Not Out,2009/10
A Tomar,JO Holder,4,6,Not Out,2022
A Tomar,Mohsin Khan,0,2,A Tomar,2022
A Uniyal,DP Nannes,3,3,Not Out,2009/10
A Uniyal,S Ladda,1,3,Not Out,2009/10
A Uniyal,SL Malinga,0,1,A Uniyal,2009/10
A Zampa,A Mishra,5,6,A Zampa,2017
A Zampa,A Nehra,0,1,A Zampa,2016
A Zampa,Z Khan,0,1,Not Out,2017
AA Bilakhia,A Kumble,6,3,Not Out,2009
AA Bilakhia,A Mishra,4,6,Not Out,2009
AA Bilakhia,A Mishra,3,5,AA Bilakhia,2009
AA Bilakhia,A Nehra,10,7,Not Out,2009
AA Bilakhia,A Nehra,2,6,Not Out,2009
AA Bilakhia,DL Vettori,1,6,AA Bilakhia,2009
AA Bilakhia,DP Nannes,6,7,Not Out,2009
AA Bilakhia,JA Morkel,6,7,Not Out,2009
AA Bilakhia,JDP Oram,1,2,Not Out,2009
AA Bilakhia,L Balaji,4,1,Not Out,2009
AA Bilakhia,M Muralitharan,1,4,Not Out,2009
AA Bilakhia,P Kumar,10,5,Not Out,2009
AA Bilakhia,P Kumar,2,3,Not Out,2009
AA Bilakhia,PJ Sangwan,1,2,Not Out,2009
AA Bilakhia,PJ Sangwan,1,3,Not Out,2009
AA Bilakhia,R Vinay Kumar,4,5,AA Bilakhia,2009
AA Bilakhia,SK Warne,1,3,AA Bilakhia,2009/10
AA Bilakhia,SM Harwood,0,1,AA Bilakhia,2009
AA Bilakhia,SR Watson,1,1,Not Out,2009/10
AA Bilakhia,TM Dilshan,3,6,Not Out,2009
